,119.0,119.5,120.0,120.5,121.0,121.5,122.0,122.5,123.0,123.5,124.0,124.5,125.0,125.5,126.0,126.5,127.0,127.5,128.0,128.5,129.0,129.5,130.0,130.5,131.0,131.5,132.0,132.5,133.0,133.5,134.0,134.5,135.0,135.5,136.0,136.5,137.0,137.5,138.0,138.5,139.0,139.5,140.0,140.5,141.0,141.5,142.0
26.5,0.103777,1.33378,3.32378,0.903777,-0.596223,-1.70622,-0.7062229999999999,-0.43622299999999997,-0.166223,-0.0262231,0.08377689999999999,-0.596223,-0.996223,-1.5662200000000002,-2.01622,-1.41622,-0.6962229999999999,-0.286223,-0.776223,-1.23622,-1.73622,-2.1962200000000003,-2.29622,-2.00622,-1.7562200000000001,-1.65622,-1.7862200000000001,-2.04622,-2.26622,-1.96622,-2.14622,-2.50622,-2.62622,-3.04622,-3.8662199999999998,-4.5662199999999995,-5.47622,-5.51622,-4.3562199999999995,-4.41622,-3.6262199999999996,-3.1962200000000003,-3.5162199999999997,-1.97622,-0.776223,-0.306223,-0.276223
27.0,0.113777,0.8037770000000001,-0.06622310000000001,1.7237799999999999,0.8137770000000001,-0.47622299999999995,0.00377686,-0.0562231,-0.0362231,0.343777,0.133777,-0.226223,-0.5562229999999999,-0.5562229999999999,-0.356223,-0.846223,-0.666223,0.103777,-0.6762229999999999,-0.8062229999999999,-1.7762200000000001,-1.64622,-1.5762200000000002,-0.6762229999999999,-0.45622299999999993,-0.726223,-1.0162200000000001,-0.996223,-1.2662200000000001,-1.22622,-1.67622,-1.45622,-1.2962200000000001,-1.83622,-2.9462200000000003,-3.5962199999999998,-4.196219999999999,-5.736219999999999,-5.16622,-5.406219999999999,-4.08622,-2.28622,-2.28622,-1.96622,-1.15622,-0.166223,-0.42622299999999996
27.5,-1.7562200000000001,0.603777,0.0437769,0.45377700000000004,1.7237799999999999,0.7937770000000001,-0.156223,0.07377689999999999,0.143777,0.283777,0.0537769,0.183777,0.07377689999999999,0.513777,0.733777,-0.636223,-0.536223,-0.286223,0.513777,0.42377700000000007,-0.0962231,-0.226223,-0.276223,-0.126223,0.07377689999999999,0.293777,0.243777,0.00377686,-0.046223099999999996,-0.896223,-0.7962229999999999,-1.61622,-1.44622,-2.4062200000000002,-2.91622,-2.4062200000000002,-3.65622,-5.43622,-5.74622,-5.92622,-4.1062199999999995,-3.27622,-2.30622,-2.57622,-2.77622,-0.7062229999999999,-1.38622
28.0,1.07378,0.363777,-0.886223,-0.786223,0.883777,1.4637799999999999,0.653777,0.133777,-0.0362231,0.07377689999999999,-0.306223,0.0337769,0.8137770000000001,1.06378,1.26378,-0.08622310000000001,0.493777,-0.07622310000000002,1.00378,1.4937799999999999,1.06378,1.25378,0.643777,-0.116223,0.613777,1.7437799999999999,1.27378,0.583777,-0.196223,-0.326223,-0.346223,-0.8162229999999999,-1.47622,-2.00622,-2.74622,-3.63622,-5.84622,-6.87622,-7.05622,-6.29622,-4.80622,-4.326219999999999,-3.05622,-1.74622,-1.92622,-1.91622,-0.976223
28.5,0.993777,0.873777,-0.896223,-0.7162229999999999,0.373777,1.2337799999999999,0.653777,0.41377700000000006,0.0237769,-0.356223,-0.336223,-0.0962231,0.5337770000000001,1.50378,1.89378,1.35378,0.753777,1.29378,1.32378,1.89378,2.16378,1.11378,1.04378,0.973777,1.2237799999999999,2.29378,1.79378,1.64378,0.743777,0.523777,0.45377700000000004,0.343777,-1.0762200000000002,-3.22622,-4.696219999999999,-6.406219999999999,-6.26622,-6.74622,-6.08622,-5.63622,-3.6062199999999995,-2.35622,-2.46622,-2.29622,-0.9262229999999999,-2.76622,-1.49622
29.0,0.163777,4.16378,-0.756223,-1.36622,-0.996223,0.243777,-0.366223,-1.66622,-1.20622,-1.0762200000000002,-0.526223,0.09377689999999998,1.01378,2.23378,1.9437799999999998,2.14378,1.4737799999999999,1.7337799999999999,2.52378,1.79378,1.9637799999999999,2.89378,3.1137799999999998,3.9637800000000003,4.31378,4.08378,4.37378,3.19378,1.4337799999999998,0.9437770000000001,1.02378,-0.626223,-3.07622,-4.116219999999999,-5.156219999999999,-5.76622,-6.09622,-5.736219999999999,-5.22622,-5.04622,-3.7062199999999996,-2.56622,-2.20622,-1.88622,-0.446223,-0.146223,-0.846223
29.5,0.7937770000000001,-0.856223,2.01378,-0.986223,-1.7662200000000001,-0.356223,-0.656223,-2.32622,-2.58622,-1.91622,-0.786223,0.44377700000000003,1.16378,2.60378,3.18378,2.42378,2.62378,2.0537799999999997,3.04378,2.99378,3.0937799999999998,4.49378,4.20378,4.8937800000000005,5.3937800000000005,5.383780000000001,5.69378,4.28378,2.49378,1.1737799999999998,0.613777,-1.35622,-3.26622,-4.196219999999999,-5.076219999999999,-5.486219999999999,-6.116219999999999,-5.74622,-4.88622,-4.92622,-4.04622,-2.02622,-1.2962200000000001,1.12378,0.7937770000000001,1.15378,1.15378
30.0,-0.196223,0.0137769,6.96378,-1.93622,-1.41622,-1.61622,-3.54622,-2.3862200000000002,-2.56622,-2.47622,-1.43622,0.103777,1.4337799999999998,2.15378,2.78378,2.72378,3.0537799999999997,3.34378,3.7737800000000004,4.6837800000000005,3.9637800000000003,3.6837800000000005,3.03378,-0.5562229999999999,-0.9662229999999999,1.79378,5.843780000000001,4.78378,2.81378,2.19378,0.6637770000000001,-0.9662229999999999,-2.64622,-4.0662199999999995,-6.04622,-5.97622,-6.076219999999999,-5.92622,-4.866219999999999,-4.58622,-1.5762200000000002,-0.396223,1.05378,2.94378,2.85378,2.0737799999999997,1.34378
30.5,-0.336223,-1.0762200000000002,6.41378,-8.36622,-6.696219999999999,-6.33622,-5.30622,-3.5762199999999997,-3.73622,-3.75622,-3.75622,-2.68622,-0.0562231,1.10378,1.9337799999999998,2.16378,2.0537799999999997,2.10378,1.81378,-0.0162231,-0.0362231,0.0537769,-3.25622,-3.5562199999999997,-1.7962200000000001,0.873777,4.2237800000000005,6.6437800000000005,5.70378,4.54378,1.75378,-0.506223,-2.48622,-6.34622,-7.34622,-7.59622,-6.41622,-4.83622,-4.95622,-2.32622,0.223777,1.08378,5.08378,4.00378,2.71378,2.44378,-0.196223
31.0,-2.85622,-2.28622,-1.58622,-4.64622,-2.46622,-3.11622,-5.00622,-4.63622,-3.92622,-3.26622,-2.48622,-1.42622,-0.116223,0.143777,1.1837799999999998,1.4337799999999998,1.9837799999999999,2.97378,3.20378,1.9537799999999999,2.66378,2.39378,-5.62622,-6.50622,-4.736219999999999,-1.43622,3.30378,7.50378,9.73378,5.77378,2.75378,-1.96622,-7.736219999999999,-8.10622,-8.76622,-7.70622,-5.30622,-3.48622,-1.86622,1.13378,3.22378,5.90378,5.02378,2.97378,2.48378,2.54378,1.51378
